"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Stephen Curry",10700,"GS@Dal 08:30PM ET",52.742,"GS"
"PF","DeMarcus Cousins",10000,"Phi@Sac 10:00PM ET",46.315,"Sac"
"PG","John Wall",9700,"Was@Tor 07:30PM ET",44.319,"Was"
"PF","Draymond Green",9300,"GS@Dal 08:30PM ET",42.167,"GS"
"PG","Chris Paul",9200,"LAC@Cha 07:00PM ET",39.463,"LAC"
"PF","Blake Griffin",8900,"LAC@Cha 07:00PM ET",43.567,"LAC"
"PG","Damian Lillard",8800,"Den@Por 10:00PM ET",42.603,"Por"
"SF","Paul George",8700,"Ind@Chi 08:00PM ET",43.525,"Ind"
"SF","Kawhi Leonard",8600,"Pho@SA 08:30PM ET",41.065,"SA"
"PG","Rajon Rondo",8400,"Phi@Sac 10:00PM ET",40.258,"Sac"
"PG","Kyle Lowry",8400,"Was@Tor 07:30PM ET",42.008,"Tor"
"SG","Eric Bledsoe",8300,"Pho@SA 08:30PM ET",39.056,"Pho"
"C","Pau Gasol",7800,"Ind@Chi 08:00PM ET",39.893,"Chi"
"PG","Isaiah Thomas",7800,"LAL@Bos 07:30PM ET",37.145,"Bos"
"C","Nikola Vucevic",7700,"Bkn@Orl 07:00PM ET",35.839,"Orl"
"SG","C.J. McCollum",7700,"Den@Por 10:00PM ET",34.789,"Por"
"SG","DeMar DeRozan",7600,"Was@Tor 07:30PM ET",36.133,"Tor"
"PG","Kemba Walker",7600,"LAC@Cha 07:00PM ET",35.800,"Cha"
"C","DeAndre Jordan",7500,"LAC@Cha 07:00PM ET",35.102,"LAC"
"SF","Nicolas Batum",7500,"LAC@Cha 07:00PM ET",35.362,"Cha"
"SF","Gordon Hayward",7500,"Uta@Min 08:00PM ET",32.509,"Uta"
"PG","Brandon Knight",7500,"Pho@SA 08:30PM ET",35.742,"Pho"
"SG","Klay Thompson",7400,"GS@Dal 08:30PM ET",31.063,"GS"
"SG","Jimmy Butler",7400,"Ind@Chi 08:00PM ET",37.474,"Chi"
"PF","Derrick Favors",7400,"Uta@Min 08:00PM ET",34.942,"Uta"
"PF","Thaddeus Young",7200,"Bkn@Orl 07:00PM ET",33.629,"Bkn"
"C","Marcin Gortat",7100,"Was@Tor 07:30PM ET",31.635,"Was"
"SG","Will Barton",7100,"Den@Por 10:00PM ET",30.274,"Den"
"C","Brook Lopez",7000,"Bkn@Orl 07:00PM ET",36.806,"Bkn"
"SF","Rudy Gay",6900,"Phi@Sac 10:00PM ET",31.392,"Sac"
"SG","Bradley Beal",6900,"Was@Tor 07:30PM ET",33.029,"Was"
"C","Karl-Anthony Towns",6800,"Uta@Min 08:00PM ET",34.258,"Min"
"SF","Danilo Gallinari",6700,"Den@Por 10:00PM ET",31.389,"Den"
"PG","Jarrett Jack",6500,"Bkn@Orl 07:00PM ET",31.583,"Bkn"
"PG","Ricky Rubio",6500,"Uta@Min 08:00PM ET",32.890,"Min"
"PF","LaMarcus Aldridge",6400,"Pho@SA 08:30PM ET",30.677,"SA"
"PF","Dirk Nowitzki",6300,"GS@Dal 08:30PM ET",31.758,"Dal"
"PG","Deron Williams",6300,"GS@Dal 08:30PM ET",29.913,"Dal"
"PF","Kenneth Faried",6300,"Den@Por 10:00PM ET",28.204,"Den"
"SF","Tobias Harris",6300,"Bkn@Orl 07:00PM ET",29.952,"Orl"
"C","Jahlil Okafor",6300,"Phi@Sac 10:00PM ET",31.466,"Phi"
"SF","Omri Casspi",6200,"Phi@Sac 10:00PM ET",25.758,"Sac"
"SF","Jae Crowder",6200,"LAL@Bos 07:30PM ET",27.315,"Bos"
"C","Rudy Gobert",6200,"Uta@Min 08:00PM ET",31.536,"Uta"
"SG","Kobe Bryant",6100,"LAL@Bos 07:30PM ET",29.625,"LAL"
"SG","Andrew Wiggins",6100,"Uta@Min 08:00PM ET",29.492,"Min"
"PG","Elfrid Payton",6000,"Bkn@Orl 07:00PM ET",28.452,"Orl"
"PG","Derrick Rose",5900,"Ind@Chi 08:00PM ET",27.056,"Chi"
"PF","Nerlens Noel",5900,"Phi@Sac 10:00PM ET",26.417,"Phi"
"C","Jared Sullinger",5800,"LAL@Bos 07:30PM ET",28.242,"Bos"
"C","Al Jefferson",5700,"LAC@Cha 07:00PM ET",26.053,"Cha"
"SG","Monta Ellis",5700,"Ind@Chi 08:00PM ET",27.383,"Ind"
"PG","Jameer Nelson",5600,"Den@Por 10:00PM ET",19.723,"Den"
"C","Zaza Pachulia",5600,"GS@Dal 08:30PM ET",28.492,"Dal"
"PG","Ish Smith",5600,"Phi@Sac 10:00PM ET",24.388,"Phi"
"PF","Jon Leuer",5600,"Pho@SA 08:30PM ET",21.106,"Pho"
"SF","Chandler Parsons",5600,"GS@Dal 08:30PM ET",18.010,"Dal"
"SF","Harrison Barnes",5600,"GS@Dal 08:30PM ET",24.897,"GS"
"SF","Otto Porter",5600,"Was@Tor 07:30PM ET",25.481,"Was"
"C","Tim Duncan",5500,"Pho@SA 08:30PM ET",27.438,"SA"
"SF","Wilson Chandler",5500,"Den@Por 10:00PM ET",0,"Den"
"PF","Taj Gibson",5500,"Ind@Chi 08:00PM ET",19.966,"Chi"
"SF","Robert Covington",5500,"Phi@Sac 10:00PM ET",26.531,"Phi"
"SG","Victor Oladipo",5500,"Bkn@Orl 07:00PM ET",27.948,"Orl"
"SF","Evan Fournier",5500,"Bkn@Orl 07:00PM ET",25.339,"Orl"
"C","Joakim Noah",5400,"Ind@Chi 08:00PM ET",23.970,"Chi"
"PG","Jeremy Lin",5400,"LAC@Cha 07:00PM ET",23.158,"Cha"
"C","Mason Plumlee",5400,"Den@Por 10:00PM ET",26.811,"Por"
"PF","Julius Randle",5400,"LAL@Bos 07:30PM ET",27.565,"LAL"
"PG","Emmanuel Mudiay",5400,"Den@Por 10:00PM ET",25.511,"Den"
"SG","Avery Bradley",5300,"LAL@Bos 07:30PM ET",25.216,"Bos"
"C","Jonas Valanciunas",5300,"Was@Tor 07:30PM ET",26.167,"Tor"
"C","Bismack Biyombo",5300,"Was@Tor 07:30PM ET",20.070,"Tor"
"SG","J.J. Redick",5200,"LAC@Cha 07:00PM ET",21.482,"LAC"
"SG","Raymond Felton",5200,"GS@Dal 08:30PM ET",21.468,"Dal"
"PG","George Hill",5200,"Ind@Chi 08:00PM ET",25.130,"Ind"
"C","Kelly Olynyk",5200,"LAL@Bos 07:30PM ET",20.317,"Bos"
"SG","Jordan Clarkson",5200,"LAL@Bos 07:30PM ET",25.075,"LAL"
"PG","J.J. Barea",5100,"GS@Dal 08:30PM ET",19.170,"Dal"
"SF","DeMarre Carroll",5100,"Was@Tor 07:30PM ET",23.863,"Tor"
"SF","C.J. Miles",5100,"Ind@Chi 08:00PM ET",23.567,"Ind"
"PG","Lou Williams",5100,"LAL@Bos 07:30PM ET",22.408,"LAL"
"PG","Darren Collison",5100,"Phi@Sac 10:00PM ET",24.442,"Sac"
"SF","Al-Farouq Aminu",5100,"Den@Por 10:00PM ET",24.568,"Por"
"PG","Tony Parker",5000,"Pho@SA 08:30PM ET",24.555,"SA"
"PF","Luis Scola",5000,"Was@Tor 07:30PM ET",21.258,"Tor"
"SF","Andre Iguodala",5000,"GS@Dal 08:30PM ET",21.933,"GS"
"SG","Garrett Temple",5000,"Was@Tor 07:30PM ET",14.435,"Was"
"SG","Wesley Matthews",5000,"GS@Dal 08:30PM ET",22.543,"Dal"
"C","Gorgui Dieng",5000,"Uta@Min 08:00PM ET",22.089,"Min"
"PF","Nikola Mirotic",5000,"Ind@Chi 08:00PM ET",23.078,"Chi"
"SG","Rodney Hood",5000,"Uta@Min 08:00PM ET",21.634,"Uta"
"PG","Zach LaVine",5000,"Uta@Min 08:00PM ET",24.548,"Min"
"C","Jusuf Nurkic",5000,"Den@Por 10:00PM ET",0,"Den"
"PG","D'Angelo Russell",5000,"LAL@Bos 07:30PM ET",24.242,"LAL"
"PF","Jordan Hill",4900,"Ind@Chi 08:00PM ET",23.268,"Ind"
"PF","Marvin Williams",4800,"LAC@Cha 07:00PM ET",24.200,"Cha"
"C","Ian Mahinmi",4800,"Ind@Chi 08:00PM ET",22.888,"Ind"
"SG","Allen Crabbe",4800,"Den@Por 10:00PM ET",17.023,"Por"
"SF","Joe Johnson",4700,"Bkn@Orl 07:00PM ET",23.145,"Bkn"
