"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","Carl Landry",3300,"Cle@Phi 06:00PM ET",16.893,"Phi"
"C","Cole Aldrich",3300,"NO@LAC 03:30PM ET",11.417,"LAC"
"PF","J.J. Hickson",3300,"Cha@Den 08:00PM ET",16.250,"Den"
"C","Timofey Mozgov",3300,"Cle@Phi 06:00PM ET",14.081,"Cle"
"PF","Donatas Motiejunas",3300,"Ind@Hou 07:00PM ET",10.250,"Hou"
"SF","Jakarr Sampson",3300,"Cle@Phi 06:00PM ET",11.322,"Phi"
"PF","Kevin Garnett",3200,"Dal@Min 05:00PM ET",13.500,"Min"
"C","Spencer Hawes",3200,"Cha@Den 08:00PM ET",13.925,"Cha"
"SG","Gerald Henderson",3200,"OKC@Por 09:00PM ET",11.908,"Por"
"C","Nikola Pekovic",3200,"Dal@Min 05:00PM ET",10.750,"Min"
"C","Omer Asik",3200,"NO@LAC 03:30PM ET",9.848,"NO"
"PF","Kyle O'Quinn",3200,"Mil@NY 07:30PM ET",13.867,"NY"
"SF","Lance Stephenson",3200,"NO@LAC 03:30PM ET",10.563,"LAC"
"SG","Andre Roberson",3200,"OKC@Por 09:00PM ET",13.257,"OKC"
"SF","Anthony Brown",3200,"Uta@LAL 09:30PM ET",6.885,"LAL"
"PF","Richaun Holmes",3200,"Cle@Phi 06:00PM ET",12.009,"Phi"
"C","Myles Turner",3200,"Ind@Hou 07:00PM ET",12.786,"Ind"
"SF","Tayshaun Prince",3100,"Dal@Min 05:00PM ET",7.912,"Min"
"PF","Josh Smith",3100,"NO@LAC 03:30PM ET",15.025,"LAC"
"PF","Luc Richard Mbah a Moute",3100,"NO@LAC 03:30PM ET",6.814,"LAC"
"SF","Alonzo Gee",3100,"NO@LAC 03:30PM ET",10.436,"NO"
"PF","Brandan Wright",3100,"Bos@Mem 06:00PM ET",14.571,"Mem"
"SF","Chase Budinger",3100,"Ind@Hou 07:00PM ET",10.614,"Ind"
"PF","JaMychal Green",3100,"Bos@Mem 06:00PM ET",12.842,"Mem"
"PF","Jonas Jerebko",3100,"Bos@Mem 06:00PM ET",8.472,"Bos"
"PG","Troy Daniels",3100,"Cha@Den 08:00PM ET",5.533,"Cha"
"PF","Nemanja Bjelica",3100,"Dal@Min 05:00PM ET",12.540,"Min"
"PG","Jerian Grant",3100,"Mil@NY 07:30PM ET",10.971,"NY"
"PG","Marcelo Huertas",3100,"Uta@LAL 09:30PM ET",9.810,"LAL"
"PF","Johnny O'Bryant",3100,"Mil@NY 07:30PM ET",9.471,"Mil"
"PG","Raul Neto",3100,"Uta@LAL 09:30PM ET",12.571,"Uta"
"PF","Noah Vonleh",3100,"OKC@Por 09:00PM ET",9.712,"Por"
"PG","Tyus Jones",3100,"Dal@Min 05:00PM ET",8.194,"Min"
"SG","Vince Carter",3000,"Bos@Mem 06:00PM ET",8.500,"Mem"
"C","Elton Brand",3000,"Cle@Phi 06:00PM ET",0,"Phi"
"PG","Andre Miller",3000,"Dal@Min 05:00PM ET",10.234,"Min"
"SF","Metta World Peace",3000,"Uta@LAL 09:30PM ET",12.111,"LAL"
"SG","Mike Miller",3000,"Cha@Den 08:00PM ET",5.545,"Den"
"SF","Richard Jefferson",3000,"Cle@Phi 06:00PM ET",11.250,"Cle"
"C","Nick Collison",3000,"OKC@Por 09:00PM ET",8.068,"OKC"
"SG","James Jones",3000,"Cle@Phi 06:00PM ET",6.783,"Cle"
"C","Chris Kaman",3000,"OKC@Por 09:00PM ET",5.850,"Por"
"PF","Louis Amundson",3000,"Mil@NY 07:30PM ET",7.327,"NY"
"SF","Steve Novak",3000,"OKC@Por 09:00PM ET",3.250,"OKC"
"PF","Chris Copeland",3000,"Mil@NY 07:30PM ET",3.882,"Mil"
"C","Kendrick Perkins",3000,"NO@LAC 03:30PM ET",6.583,"NO"
"SG","Sasha Vujacic",3000,"Mil@NY 07:30PM ET",8.533,"NY"
"C","Anderson Varejao",3000,"Cle@Phi 06:00PM ET",6.604,"Cle"
"PG","Toney Douglas",3000,"NO@LAC 03:30PM ET",12.197,"NO"
"C","Sasha Kaun",3000,"Cle@Phi 06:00PM ET",3.406,"Cle"
"PG","Brian Roberts",3000,"Cha@Den 08:00PM ET",6.447,"Cha"
"PF","Tyler Hansbrough",3000,"Cha@Den 08:00PM ET",5.829,"Cha"
"PG","D.J. Augustin",3000,"OKC@Por 09:00PM ET",9.605,"OKC"
"SF","Quincy Pondexter",3000,"NO@LAC 03:30PM ET",0,"NO"
"SF","Jeremy Evans",3000,"Dal@Min 05:00PM ET",5.323,"Dal"
"SF","Kyle Singler",3000,"OKC@Por 09:00PM ET",5.370,"OKC"
"C","Robert Sacre",3000,"Uta@LAL 09:30PM ET",9.646,"LAL"
"SF","Luke Babbitt",3000,"NO@LAC 03:30PM ET",10.015,"NO"
"C","Tyler Zeller",3000,"Bos@Mem 06:00PM ET",7.833,"Bos"
"C","Miles Plumlee",3000,"Mil@NY 07:30PM ET",6.716,"Mil"
"SG","Elliot Williams",3000,"Bos@Mem 06:00PM ET",2.000,"Mem"
"C","Shayne Whittington",3000,"Ind@Hou 07:00PM ET",3.625,"Ind"
"SF","Solomon Hill",3000,"Ind@Hou 07:00PM ET",7.625,"Ind"
"SG","C.J. Wilcox",3000,"NO@LAC 03:30PM ET",0.000,"LAC"
"SG","John Jenkins",3000,"Dal@Min 05:00PM ET",5.609,"Dal"
"SF","Ryan Kelly",3000,"Uta@LAL 09:30PM ET",12.318,"LAL"
"SG","Jared Cunningham",3000,"Cle@Phi 06:00PM ET",6.339,"Cle"
"PG","Tim Frazier",3000,"OKC@Por 09:00PM ET",5.830,"Por"
"SG","Joe Harris",3000,"Cle@Phi 06:00PM ET",1.950,"Cle"
"PF","Kevin Seraphin",3000,"Mil@NY 07:30PM ET",10.313,"NY"
"C","Tibor Pleiss",3000,"Uta@LAL 09:30PM ET",5.250,"Uta"
"C","Tarik Black",3000,"Uta@LAL 09:30PM ET",10.139,"LAL"
"SF","Josh Huestis",3000,"OKC@Por 09:00PM ET",0,"OKC"
"PG","Kendall Marshall",3000,"Cle@Phi 06:00PM ET",10.400,"Phi"
"PG","Pablo Prigioni",3000,"NO@LAC 03:30PM ET",8.309,"LAC"
"PF","Adreian Payne",3000,"Dal@Min 05:00PM ET",7.093,"Min"
"SG","Joe Young",3000,"Ind@Hou 07:00PM ET",4.021,"Ind"
