"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",10500,"Mil@OKC 08:00PM ET",53.411,"OKC"
"SG","James Harden",10300,"Atl@Hou 08:00PM ET",50.383,"Hou"
"SF","Kevin Durant",10000,"Mil@OKC 08:00PM ET",47.820,"OKC"
"SF","LeBron James",9600,"Cle@Den 09:00PM ET",47.339,"Cle"
"C","Andre Drummond",9400,"Det@NY 07:30PM ET",47.194,"Det"
"SF","Carmelo Anthony",8300,"Det@NY 07:30PM ET",37.984,"NY"
"PF","Paul Millsap",7700,"Atl@Hou 08:00PM ET",39.894,"Atl"
"PF","Kevin Love",7600,"Cle@Den 09:00PM ET",37.328,"Cle"
"PF","Kristaps Porzingis",7400,"Det@NY 07:30PM ET",30.867,"NY"
"PG","Reggie Jackson",7300,"Det@NY 07:30PM ET",36.371,"Det"
"C","Marc Gasol",7200,"Mia@Mem 08:00PM ET",34.545,"Mem"
"PF","Chris Bosh",7100,"Mia@Mem 08:00PM ET",36.100,"Mia"
"C","Hassan Whiteside",7000,"Mia@Mem 08:00PM ET",35.442,"Mia"
"SG","Will Barton",6900,"Cle@Den 09:00PM ET",30.274,"Den"
"SG","Dwyane Wade",6800,"Mia@Mem 08:00PM ET",32.353,"Mia"
"SF","Danilo Gallinari",6700,"Cle@Den 09:00PM ET",31.389,"Den"
"PG","Michael Carter-Williams",6700,"Mil@OKC 08:00PM ET",27.509,"Mil"
"PF","Serge Ibaka",6600,"Mil@OKC 08:00PM ET",28.790,"OKC"
"C","Greg Monroe",6600,"Mil@OKC 08:00PM ET",35.392,"Mil"
"C","Dwight Howard",6500,"Atl@Hou 08:00PM ET",33.712,"Hou"
"SF","Giannis Antetokounmpo",6500,"Mil@OKC 08:00PM ET",30.783,"Mil"
"PG","Mike Conley",6400,"Mia@Mem 08:00PM ET",31.083,"Mem"
"C","Al Horford",6300,"Atl@Hou 08:00PM ET",32.545,"Atl"
"PG","Jeff Teague",6300,"Atl@Hou 08:00PM ET",30.092,"Atl"
"PG","Kyrie Irving",6200,"Cle@Den 09:00PM ET",21.125,"Cle"
"PF","Kenneth Faried",6100,"Cle@Den 09:00PM ET",28.204,"Den"
"SG","Khris Middleton",6100,"Mil@OKC 08:00PM ET",27.703,"Mil"
"PF","Zach Randolph",5900,"Mia@Mem 08:00PM ET",26.768,"Mem"
"SF","Matt Barnes",5800,"Mia@Mem 08:00PM ET",21.242,"Mem"
"SF","Marcus Morris",5700,"Det@NY 07:30PM ET",27.016,"Det"
"PG","Jameer Nelson",5600,"Cle@Den 09:00PM ET",19.723,"Den"
"SF","Trevor Ariza",5500,"Atl@Hou 08:00PM ET",25.290,"Hou"
"SF","Wilson Chandler",5500,"Cle@Den 09:00PM ET",0,"Den"
"PG","Goran Dragic",5500,"Mia@Mem 08:00PM ET",25.241,"Mia"
"C","Clint Capela",5500,"Atl@Hou 08:00PM ET",21.806,"Hou"
"SF","Jeff Green",5400,"Mia@Mem 08:00PM ET",20.621,"Mem"
"PG","Emmanuel Mudiay",5400,"Cle@Den 09:00PM ET",25.511,"Den"
"SF","Kent Bazemore",5300,"Atl@Hou 08:00PM ET",25.384,"Atl"
"SG","Kentavious Caldwell-Pope",5200,"Det@NY 07:30PM ET",24.831,"Det"
"SG","O.J. Mayo",5100,"Mil@OKC 08:00PM ET",21.821,"Mil"
"PF","Tristan Thompson",5000,"Cle@Den 09:00PM ET",22.198,"Cle"
"PG","Dennis Schroder",5000,"Atl@Hou 08:00PM ET",21.992,"Atl"
"C","Jusuf Nurkic",5000,"Cle@Den 09:00PM ET",0,"Den"
"SF","Luol Deng",4900,"Mia@Mem 08:00PM ET",21.104,"Mia"
"PF","Ersan Ilyasova",4900,"Det@NY 07:30PM ET",21.081,"Det"
"PG","Jerryd Bayless",4900,"Mil@OKC 08:00PM ET",24.550,"Mil"
"C","Enes Kanter",4900,"Mil@OKC 08:00PM ET",23.597,"OKC"
"PF","Jabari Parker",4900,"Mil@OKC 08:00PM ET",19.481,"Mil"
"SG","Arron Afflalo",4800,"Det@NY 07:30PM ET",21.552,"NY"
"PG","Matthew Dellavedova",4800,"Cle@Den 09:00PM ET",21.411,"Cle"
"C","Nikola Jokic",4700,"Cle@Den 09:00PM ET",19.836,"Den"
"SG","J.R. Smith",4600,"Cle@Den 09:00PM ET",20.330,"Cle"
"PG","Patrick Beverley",4600,"Atl@Hou 08:00PM ET",18.500,"Hou"
"SG","Gerald Green",4500,"Mia@Mem 08:00PM ET",17.969,"Mia"
"PF","Terrence Jones",4400,"Atl@Hou 08:00PM ET",20.389,"Hou"
"C","Joffrey Lauvergne",4400,"Cle@Den 09:00PM ET",19.375,"Den"
"PG","Mo Williams",4300,"Cle@Den 09:00PM ET",21.174,"Cle"
"SG","Courtney Lee",4300,"Mia@Mem 08:00PM ET",18.061,"Mem"
"SG","Gary Harris",4300,"Cle@Den 09:00PM ET",18.720,"Den"
"PG","Randy Foye",4200,"Cle@Den 09:00PM ET",13.766,"Den"
"SF","Lance Thomas",4100,"Det@NY 07:30PM ET",13.836,"NY"
"PF","Darrell Arthur",4100,"Cle@Den 09:00PM ET",15.580,"Den"
"PF","John Henson",4100,"Mil@OKC 08:00PM ET",16.426,"Mil"
"SG","Kyle Korver",4000,"Atl@Hou 08:00PM ET",20.137,"Atl"
"C","Robin Lopez",4000,"Det@NY 07:30PM ET",18.508,"NY"
"PG","Brandon Jennings",4000,"Det@NY 07:30PM ET",0,"Det"
"C","Steven Adams",4000,"Mil@OKC 08:00PM ET",17.315,"OKC"
"PG","Mario Chalmers",3900,"Mia@Mem 08:00PM ET",18.642,"Mem"
"SF","Marcus Thornton",3900,"Atl@Hou 08:00PM ET",18.830,"Hou"
"PG","Jose Calderon",3800,"Det@NY 07:30PM ET",18.320,"NY"
"SF","Thabo Sefolosha",3800,"Atl@Hou 08:00PM ET",18.931,"Atl"
"PG","Ty Lawson",3800,"Atl@Hou 08:00PM ET",16.534,"Hou"
