"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"12332","PG","John","Wall","41","31","10200","MIA@WAS","WAS","MIA","","","",""
"20848","PG","Damian","Lillard","38.9","29","9000","POR@DEN","POR","DEN","GTD","Foot","",""
"19067","SG","C.J.","McCollum","32.9","34","8400","POR@DEN","POR","DEN","","","",""
"12363","C","Hassan","Whiteside","33.5","32","7500","MIA@WAS","MIA","WAS","","","",""
"9718","PF","Chris","Bosh","33.3","32","7500","MIA@WAS","MIA","WAS","","","",""
"9585","SG","Dwyane","Wade","30.8","31","7400","MIA@WAS","MIA","WAS","","","",""
"17333","SG","Will","Barton","29.7","34","7200","POR@DEN","DEN","POR","","","",""
"15595","SG","Brad","Beal","30.2","17","7200","MIA@WAS","WAS","MIA","O","Leg","",""
"9661","C","Marcin","Gortat","29.6","28","7100","MIA@WAS","WAS","MIA","","","",""
"9566","SG","Kobe","Bryant","27.4","29","6900","PHO@LAL","LAL","PHO","GTD","Shoulder","",""
"9637","SF","Danilo","Gallinari","29.8","28","6700","POR@DEN","DEN","POR","","","",""
"14506","PG","Brandon","Knight","32","36","6500","PHO@LAL","PHO","LAL","","","",""
"14521","PF","Kenneth","Faried","26.7","30","6400","POR@DEN","DEN","POR","O","Neck","",""
"15628","SF","Otto","Porter","25.1","28","6000","MIA@WAS","WAS","MIA","","","",""
"20640","PG","Jordan","Clarkson","23.7","32","5900","PHO@LAL","LAL","PHO","","","",""
"9673","PG","Goran","Dragic","23.9","31","5900","MIA@WAS","MIA","WAS","","","",""
"42669","PF","Julius","Randle","25.9","33","5700","PHO@LAL","LAL","PHO","","","",""
"15590","C","Mason","Plumlee","24.8","35","5400","POR@DEN","POR","DEN","GTD","Illness","",""
"9662","SG","Louis","Williams","21.6","32","5300","PHO@LAL","LAL","PHO","","","",""
"58312","PG","D'Angelo","Russell","22.2","34","5100","PHO@LAL","LAL","PHO","","","",""
"9652","PG","Jameer","Nelson","19.2","31","5000","POR@DEN","DEN","POR","","","",""
"63124","PG","Emmanuel","Mudiay","22.8","23","4900","POR@DEN","DEN","POR","O","Ankle","",""
"12342","SF","Al-Farouq","Aminu","22.3","35","4900","POR@DEN","POR","DEN","","","",""
"55062","C","Nikola","Jokic","18.3","32","4700","POR@DEN","DEN","POR","","","",""
"9479","SF","Luol","Deng","19.3","26","4600","MIA@WAS","MIA","WAS","","","",""
"14539","PF","Jon","Leuer","19.3","35","4600","PHO@LAL","PHO","LAL","","","",""
"15501","SG","Allen","Crabbe","16.4","35","4600","POR@DEN","POR","DEN","","","",""
"23120","SF","T.J.","Warren","18.9","35","4600","PHO@LAL","PHO","LAL","","","",""
"24544","SG","Gary","Harris","18","28","4400","POR@DEN","DEN","POR","","","",""
"14511","PF","Markieff","Morris","18.7","23","4400","PHO@LAL","PHO","LAL","","","",""
"15669","C","Meyers","Leonard","17.2","28","4300","POR@DEN","POR","DEN","","","",""
"9553","C","Roy","Hibbert","19.4","34","4300","PHO@LAL","LAL","PHO","","","",""
"23407","SF","P.J.","Tucker","16.6","36","4300","PHO@LAL","PHO","LAL","","","",""
"9605","PG","Ramon","Sessions","17.4","31","4200","MIA@WAS","WAS","MIA","","","",""
"9473","C","Tyson","Chandler","16.4","27","4200","PHO@LAL","PHO","LAL","","","",""
"15814","C","Alex","Len","15.7","36","4200","PHO@LAL","PHO","LAL","","","",""
"40209","C","Joffrey","Lauvergne","19","18","4200","POR@DEN","DEN","POR","","","",""
"11074","SG","Garrett","Temple","13.6","29","4100","MIA@WAS","WAS","MIA","","","",""
"9512","PF","Nene","Hilario","16.7","12","4100","MIA@WAS","WAS","MIA","O","Calf","",""
"20992","PF","Larry","Nance Jr.","12.9","29","4000","PHO@LAL","LAL","PHO","","","",""
"9491","PF","J.J.","Hickson","16.8","17","4000","POR@DEN","DEN","POR","","","",""
"55057","C","Jusuf","Nurkic","4.4","1","4000","POR@DEN","DEN","POR","","","",""
"9677","SF","Jared","Dudley","16.3","30","4000","MIA@WAS","WAS","MIA","","","",""
"12365","PF","Ed","Davis","18.7","34","3900","POR@DEN","POR","DEN","","","",""
"9659","PF","Brandon","Bass","13.6","29","3800","PHO@LAL","LAL","PHO","","","",""
"16178","SF","Maurice","Harkless","11.6","35","3800","POR@DEN","POR","DEN","","","",""
"9849","SG","Gerald","Green","16.6","26","3800","MIA@WAS","MIA","WAS","","","",""
"12445","SG","Gary","Neal","15","24","3800","MIA@WAS","WAS","MIA","GTD","Quadriceps","",""
"23178","PF","Mirza","Teletovic","14.5","36","3700","PHO@LAL","PHO","LAL","","","",""
"9733","SG","Randy","Foye","12.4","34","3700","POR@DEN","DEN","POR","","","",""
"18600","PG","Tyler","Johnson","15.4","23","3700","MIA@WAS","MIA","WAS","","","",""
"58460","SG","Devin","Booker","10.4","30","3600","PHO@LAL","PHO","LAL","","","",""
"58084","SF","Justise","Winslow","14.1","29","3500","MIA@WAS","MIA","WAS","GTD","Ankle","",""
"9501","PF","Kris","Humphries","13.2","26","3500","MIA@WAS","WAS","MIA","","","",""
"9503","PF","Drew","Gooden","9.6","7","3500","MIA@WAS","WAS","MIA","O","Calf","",""
"42661","PF","Noah","Vonleh","8.9","35","3500","POR@DEN","POR","DEN","","","",""
"18702","C","Robert","Sacre","9.2","12","3500","PHO@LAL","LAL","PHO","","","",""
"17332","C","Tarik","Black","9.3","8","3500","PHO@LAL","LAL","PHO","","","",""
"9778","PF","Josh","McRoberts","10","20","3500","MIA@WAS","MIA","WAS","GTD","Knee","",""
"9737","SG","Nick","Young","12.1","30","3500","PHO@LAL","LAL","PHO","","","",""
"23098","SF","Kostas","Papanikolaou","6.1","24","3500","POR@DEN","DEN","POR","","","",""
"9734","SF","Mike","Miller","5.3","26","3500","POR@DEN","DEN","POR","","","",""
"16188","SF","Anthony","Brown","5.5","9","3500","PHO@LAL","LAL","PHO","","","",""
"9513","C","Chris","Andersen","3.2","4","3500","MIA@WAS","MIA","WAS","","","",""
"16925","PF","Jarnell","Stokes","1.2","2","3500","MIA@WAS","MIA","WAS","","","",""
"9685","SF","Martell","Webster","0","0","3500","MIA@WAS","WAS","MIA","O","Hip","",""
"9952","C","DeJuan","Blair","5.6","18","3500","MIA@WAS","WAS","MIA","GTD","Knee","",""
"9680","PF","Amar'e","Stoudemire","8.1","7","3500","MIA@WAS","MIA","WAS","","","",""
"9563","C","Chris","Kaman","6.7","4","3500","POR@DEN","POR","DEN","","","",""
"21665","SG","Alan","Anderson","0","24","3500","MIA@WAS","WAS","MIA","O","Ankle","",""
"9693","PG","Beno","Udrih","8.8","26","3500","MIA@WAS","MIA","WAS","","","",""
"15475","PF","Cory","Jefferson","4.3","6","3500","PHO@LAL","PHO","LAL","","","",""
"58153","SF","Kelly","Oubre","8.6","24","3500","MIA@WAS","WAS","MIA","","","",""
