"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"15755","PF","Anthony","Davis","43.5","32","10400","NO@LAC","NO","LAC","GTD","Back","",""
"9623","PG","Chris","Paul","37.7","32","9300","NO@LAC","LAC","NO","","","",""
"9560","PF","Blake","Griffin","41.3","30","9000","NO@LAC","LAC","NO","O","Quadriceps","",""
"9561","C","DeAndre","Jordan","34","37","8000","NO@LAC","LAC","NO","","","",""
"9692","PG","Tyreke","Evans","34.4","17","7600","NO@LAC","NO","LAC","","","",""
"58462","C","Karl-Anthony","Towns","32","37","7600","DAL@MIN","MIN","DAL","","","",""
"14496","PG","Ricky","Rubio","31","31","7500","DAL@MIN","MIN","DAL","","","",""
"9500","PF","Dirk","Nowitzki","29.9","35","6900","DAL@MIN","DAL","MIN","","","",""
"9454","C","Zaza","Pachulia","27.3","36","6700","DAL@MIN","DAL","MIN","","","",""
"49116","SF","Andrew","Wiggins","28","36","6300","DAL@MIN","MIN","DAL","","","",""
"9722","PG","Deron","Williams","26.6","30","6300","DAL@MIN","DAL","MIN","GTD","Elbow","",""
"9663","PG","Jrue","Holiday","23.1","29","5700","NO@LAC","NO","LAC","","","",""
"9772","PF","Ryan","Anderson","26.3","33","5500","NO@LAC","NO","LAC","","","",""
"14537","SF","Chandler","Parsons","17.4","30","5400","DAL@MIN","DAL","MIN","","","",""
"9799","SG","Wesley","Matthews","20.9","34","5300","DAL@MIN","DAL","MIN","","","",""
"9655","SG","J.J.","Redick","20.3","33","5100","NO@LAC","LAC","NO","","","",""
"9465","PG","Raymond","Felton","19.7","37","5000","DAL@MIN","DAL","MIN","","","",""
"15771","C","Gorgui","Dieng","20.4","37","4900","DAL@MIN","MIN","DAL","","","",""
"9556","SG","Eric","Gordon","22.5","35","4800","NO@LAC","NO","LAC","","","",""
"12459","C","Nikola","Pekovic","9.7","2","4600","DAL@MIN","MIN","DAL","","","",""
"9495","PG","Jose Juan","Barea","18","31","4300","DAL@MIN","DAL","MIN","","","",""
"14527","PG","Norris","Cole","15.5","18","4200","NO@LAC","NO","LAC","","","",""
"40783","SG","Zach","LaVine","20.5","37","4100","DAL@MIN","MIN","DAL","","","",""
"9459","SF","Paul","Pierce","10.5","34","4100","NO@LAC","LAC","NO","","","",""
"15592","PG","Austin","Rivers","13.3","34","4000","NO@LAC","LAC","NO","","","",""
"12357","SF","Quincy","Pondexter","0","25","3900","NO@LAC","NO","LAC","GTD","Knee","",""
"9739","C","JaVale","McGee","11.2","18","3900","DAL@MIN","DAL","MIN","","","",""
"16196","PF","Dwight","Powell","16.9","35","3900","DAL@MIN","DAL","MIN","","","",""
"9613","SG","Devin","Harris","15.1","31","3800","DAL@MIN","DAL","MIN","","","",""
"12354","C","Cole","Aldrich","10.9","15","3800","NO@LAC","LAC","NO","","","",""
"9694","SG","Kevin","Martin","16.5","28","3800","DAL@MIN","MIN","DAL","","","",""
"9448","SG","Jamal","Crawford","17","37","3800","NO@LAC","LAC","NO","","","",""
"23717","SF","Shabazz","Muhammad","12.6","37","3700","DAL@MIN","MIN","DAL","","","",""
"12348","SF","Wesley","Johnson","11.2","37","3700","NO@LAC","LAC","NO","","","",""
"11104","SF","Alonzo","Gee","9.8","35","3500","NO@LAC","NO","LAC","","","",""
"12391","PF","Jeremy","Evans","5.1","24","3500","DAL@MIN","DAL","MIN","","","",""
"58081","PG","Tyus","Jones","7.6","9","3500","DAL@MIN","MIN","DAL","","","",""
"9520","PF","Charlie","Villanueva","10.4","33","3500","DAL@MIN","DAL","MIN","","","",""
"23744","SF","Justin","Anderson","4","21","3500","DAL@MIN","DAL","MIN","","","",""
"9518","SF","Tayshaun","Prince","7.6","37","3500","DAL@MIN","MIN","DAL","","","",""
"12368","SF","Nemanja","Bjelica","11.6","31","3500","DAL@MIN","MIN","DAL","","","",""
"12369","SG","Lance","Stephenson","9.6","32","3500","NO@LAC","LAC","NO","","","",""
"9751","PG","Toney","Douglas","11.2","19","3500","NO@LAC","NO","LAC","","","",""
"9682","PG","Andre","Miller","9.7","16","3500","DAL@MIN","MIN","DAL","","","",""
"64017","C","Salah","Mejri","2.2","5","3500","DAL@MIN","DAL","MIN","","","",""
"16335","SG","John","Jenkins","5.2","16","3500","DAL@MIN","DAL","MIN","","","",""
"12349","SF","Luke","Babbitt","9.2","17","3500","NO@LAC","NO","LAC","","","",""
"23234","PG","Pablo","Prigioni","7.7","17","3500","NO@LAC","LAC","NO","","","",""
"15864","PF","Adreian","Payne","6.5","27","3500","DAL@MIN","MIN","DAL","","","",""
"9804","C","Alexis","Ajinca","11.5","25","3500","NO@LAC","NO","LAC","","","",""
"55376","SF","Damjan","Rudez","3.4","15","3500","DAL@MIN","MIN","DAL","","","",""
"9449","PF","Josh","Smith","13.9","30","3500","NO@LAC","LAC","NO","","","",""
"12423","C","Omer","Asik","9.1","28","3500","NO@LAC","NO","LAC","","","",""
"9796","SF","Luc Richard","Mbah a Moute","6.4","35","3500","NO@LAC","LAC","NO","","","",""
"9461","PF","Kevin","Garnett","13","32","3500","DAL@MIN","MIN","DAL","","","",""
"9463","C","Kendrick","Perkins","6.1","9","3500","NO@LAC","NO","LAC","","","",""
"9940","PF","Dante","Cunningham","9.8","34","3500","NO@LAC","NO","LAC","","","",""
"9642","PG","Russell","Westbrook","48.9","37","10600","OKC@POR","OKC","POR","","","",""
"9646","SF","Kevin","Durant","43.9","30","10100","OKC@POR","OKC","POR","","","",""
"9644","SG","James","Harden","45.5","37","10000","IND@HOU","HOU","IND","","","",""
"9488","SF","LeBron","James","44.2","33","9900","CLE@PHI","CLE","PHI","","","",""
"20848","PG","Damian","Lillard","39.5","32","8900","OKC@POR","POR","OKC","","","",""
"9508","SF","Carmelo","Anthony","36.9","36","8800","MIL@NY","NY","MIL","","","",""
"14507","PG","Kemba","Walker","34.2","36","8800","CHA@DEN","CHA","DEN","","","",""
"12341","SF","Paul","George","39.3","36","8800","IND@HOU","IND","HOU","","","",""
"19067","SG","C.J.","McCollum","32.4","37","8200","OKC@POR","POR","OKC","","","",""
"14559","PG","Isaiah","Thomas","34.4","36","8000","BOS@MEM","BOS","MEM","","","",""
"9660","C","Dwight","Howard","33","30","8000","IND@HOU","HOU","IND","GTD","Back","",""
"14498","PG","Kyrie","Irving","25.4","8","7800","CLE@PHI","CLE","PHI","","","",""
"12351","PF","Derrick","Favors","33.3","26","7700","UTA@LAL","UTA","LAL","GTD","Back","",""
"9581","C","Marc","Gasol","32.2","38","7500","BOS@MEM","MEM","BOS","","","",""
"9809","SF","Nicolas","Batum","31.9","31","7400","CHA@DEN","CHA","DEN","GTD","Toe","",""
"12337","C","Greg","Monroe","32.5","36","7400","MIL@NY","MIL","NY","","","",""
"12366","SF","Gordon","Hayward","30","36","7300","UTA@LAL","UTA","LAL","","","",""
"9874","PF","Kevin","Love","33.6","34","7200","CLE@PHI","CLE","PHI","","","",""
"16201","PG","Michael","Carter-Williams","28.3","33","7100","MIL@NY","MIL","NY","","","",""
"9637","SF","Danilo","Gallinari","30.7","31","7100","CHA@DEN","DEN","CHA","","","",""
"9566","SG","Kobe","Bryant","27.8","31","7000","UTA@LAL","LAL","UTA","GTD","Shoulder","",""
"16261","SF","Khris","Middleton","27.5","38","6900","MIL@NY","MIL","NY","","","",""
