"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"9671","PF","Marreese","Speights","10.6","30","3800","GS@SAC","GS","SAC","","","",""
"12445","SG","Gary","Neal","14.8","26","3800","WAS@ORL","WAS","ORL","","","",""
"41594","PF","Aaron","Gordon","16.4","36","3700","WAS@ORL","ORL","WAS","","","",""
"9731","C","Kosta","Koufos","17.9","35","3700","GS@SAC","SAC","GS","","","",""
"18393","PG","T.J.","McConnell","18.9","38","3700","TOR@PHI","PHI","TOR","","","",""
"14529","PG","Cory","Joseph","16.9","38","3700","TOR@PHI","TOR","PHI","","","",""
"9549","SG","Brandon","Rush","11.3","27","3700","GS@SAC","GS","SAC","","","",""
"9539","PF","Carl","Landry","16.6","6","3700","TOR@PHI","PHI","TOR","","","",""
"23801","SG","Nik","Stauskas","13.2","35","3700","TOR@PHI","PHI","TOR","","","",""
"16405","SG","Terrence","Ross","13.5","32","3700","TOR@PHI","TOR","PHI","O","Back","",""
"9956","SG","Wayne","Ellington","10.4","35","3700","BKN@DET","BKN","DET","","","",""
"58461","PF","Trey","Lyles","9.3","33","3700","MIA@UTA","UTA","MIA","","","",""
"9525","PG","C.J.","Watson","13.1","8","3600","WAS@ORL","ORL","WAS","O","Calf","",""
"12340","PF","Patrick","Patterson","13.8","38","3600","TOR@PHI","TOR","PHI","","","",""
"23823","C","Willie","Cauley-Stein","14.1","22","3600","GS@SAC","SAC","GS","O","Finger","",""
"9643","PG","Shaun","Livingston","13.2","33","3600","GS@SAC","GS","SAC","","","",""
"15727","SG","Ben","McLemore","12.2","36","3600","GS@SAC","SAC","GS","","","",""
"9968","SG","Jodie","Meeks","1.7","2","3600","BKN@DET","DET","BKN","O","Foot","",""
"40208","PG","Raul","Neto","11","34","3600","MIA@UTA","UTA","MIA","","","",""
"17218","PF","Andrew","Nicholson","13.6","28","3600","WAS@ORL","ORL","WAS","","","",""
"17462","SG","Chris","Johnson","5.4","26","3600","MIA@UTA","UTA","MIA","","","",""
"58084","SF","Justise","Winslow","13.9","33","3500","MIA@UTA","MIA","UTA","","","",""
"9501","PF","Kris","Humphries","13.1","27","3500","WAS@ORL","WAS","ORL","O","Knee","",""
"9503","PF","Drew","Gooden","9.2","8","3500","WAS@ORL","WAS","ORL","","","",""
"15542","PG","Spencer","Dinwiddie","7.7","9","3500","BKN@DET","DET","BKN","","","",""
"59318","SF","Joe","Ingles","7.9","34","3500","MIA@UTA","UTA","MIA","","","",""
"16026","SG","Markel","Brown","5.3","20","3500","BKN@DET","BKN","DET","","","",""
"63123","SF","Mario","Hezonja","7.2","34","3500","WAS@ORL","ORL","WAS","","","",""
"23920","PF","Anthony","Bennett","4.1","10","3500","TOR@PHI","TOR","PHI","","","",""
"9783","C","Joel","Anthony","3.6","10","3500","BKN@DET","DET","BKN","","","",""
"9778","PF","Josh","McRoberts","10","20","3500","MIA@UTA","MIA","UTA","O","Knee","",""
"16293","SG","Norman","Powell","3.6","14","3500","TOR@PHI","TOR","PHI","","","",""
"9736","SF","Caron","Butler","5.5","9","3500","GS@SAC","SAC","GS","","","",""
"12353","C","Tibor","Pleiss","4.9","8","3500","MIA@UTA","UTA","MIA","","","",""
"16063","PF","Eric","Moreland","3.8","5","3500","GS@SAC","SAC","GS","O","Foot","",""
"16301","C","Dewayne","Dedmon","10.3","23","3500","WAS@ORL","ORL","WAS","","","",""
"12364","SG","James","Anderson","4.2","19","3500","GS@SAC","SAC","GS","","","",""
"9513","C","Chris","Andersen","4.4","6","3500","MIA@UTA","MIA","UTA","","","",""
"34615","PF","Willie","Reed","8.6","17","3500","BKN@DET","BKN","DET","","","",""
"21665","SG","Alan","Anderson","0","24","3500","WAS@ORL","WAS","ORL","O","Ankle","",""
"12828","SF","Elijah","Millsap","5.9","20","3500","MIA@UTA","UTA","MIA","","","",""
"16348","SG","Darrun","Hilliard","3.2","11","3500","BKN@DET","DET","BKN","","","",""
"12832","PG","Donald","Sloan","8.4","16","3500","BKN@DET","BKN","DET","","","",""
"15583","SG","Seth","Curry","6.3","19","3500","GS@SAC","SAC","GS","","","",""
"9589","PF","Udonis","Haslem","5.4","16","3500","MIA@UTA","MIA","UTA","","","",""
"16375","SG","Jarell","Eddie","10","5","3500","WAS@ORL","WAS","ORL","","","",""
"15560","PG","Shabazz","Napier","8.5","32","3500","WAS@ORL","ORL","WAS","","","",""
"23447","PF","Richaun","Holmes","11.5","28","3500","TOR@PHI","PHI","TOR","","","",""
"15631","SF","Hollis","Thompson","15","36","3500","TOR@PHI","PHI","TOR","","","",""
"15925","PG","Phil (Flip)","Pressey","11.2","14","3500","TOR@PHI","PHI","TOR","","","",""
"16183","SF","Jakarr","Sampson","10.7","37","3500","TOR@PHI","PHI","TOR","","","",""
"16925","PF","Jarnell","Stokes","1.2","2","3500","MIA@UTA","MIA","UTA","","","",""
"16443","PF","Duje","Dukan","0","25","3500","GS@SAC","SAC","GS","O","Leg","",""
"40830","PG","Delon","Wright","1.8","7","3500","TOR@PHI","TOR","PHI","","","",""
"55058","SF","Bruno","Caboclo","1.1","2","3500","TOR@PHI","TOR","PHI","","","",""
"9685","SF","Martell","Webster","0","0","3500","WAS@ORL","WAS","ORL","O","Hip","",""
"9952","C","DeJuan","Blair","5.6","18","3500","WAS@ORL","WAS","ORL","GTD","Knee","",""
"9680","PF","Amar'e","Stoudemire","8.5","9","3500","MIA@UTA","MIA","UTA","","","",""
"9683","PG","Steve","Blake","10.5","28","3500","BKN@DET","DET","BKN","","","",""
"15954","PG","Kendall","Marshall","9","10","3500","TOR@PHI","PHI","TOR","","","",""
"15955","PF","James Michael","McAdoo","5","25","3500","GS@SAC","GS","SAC","GTD","Toe","",""
"9693","PG","Beno","Udrih","7.6","21","3500","MIA@UTA","MIA","UTA","","","",""
"9966","SF","James","Johnson","10.4","30","3500","TOR@PHI","TOR","PHI","","","",""
"15947","SF","Reggie","Bullock","1.2","17","3500","BKN@DET","DET","BKN","","","",""
"9669","PF","Jason","Smith","10.8","32","3500","WAS@ORL","ORL","WAS","","","",""
"9668","PF","Elton","Brand","0","0","3500","TOR@PHI","PHI","TOR","","","",""
"58153","SF","Kelly","Oubre","8.6","27","3500","WAS@ORL","WAS","ORL","","","",""
"42202","PF","Christian","Wood","8","14","3500","TOR@PHI","PHI","TOR","","","",""
"9678","PF","Channing","Frye","12.2","32","3500","WAS@ORL","ORL","WAS","","","",""
"15730","PF","Thomas","Robinson","8.5","31","3500","BKN@DET","BKN","DET","","","",""
"9674","SG","Leandro","Barbosa","11.1","25","3500","GS@SAC","GS","SAC","O","Shoulder","",""
"16233","SG","Josh","Richardson","3.7","14","3500","MIA@UTA","MIA","UTA","","","",""
"9920","PF","Anthony","Tolliver","11.5","35","3500","BKN@DET","DET","BKN","","","",""
"40202","SF","Sergey","Karasev","1.8","12","3500","BKN@DET","BKN","DET","","","",""
"40200","C","Lucas","Nogueira","6.6","13","3500","TOR@PHI","TOR","PHI","","","",""
"9720","C","Andrea","Bargnani","10","31","3500","BKN@DET","BKN","DET","","","",""
"9698","PF","Jason","Thompson","6.3","18","3500","GS@SAC","GS","SAC","","","",""
"15699","SG","Roy Devyn","Marble","0.9","6","3500","WAS@ORL","ORL","WAS","","","",""
"9623","PG","Chris","Paul","37.4","31","9300","CHA@LAC","LAC","CHA","","","",""
"9560","PF","Blake","Griffin","41.3","30","9000","CHA@LAC","LAC","CHA","O","Quadriceps","",""
"9570","PF","Pau","Gasol","38.3","33","9000","CHI@ATL","CHI","ATL","","","",""
"14507","PG","Kemba","Walker","34.8","35","8800","CHA@LAC","CHA","LAC","","","",""
"14528","SG","Jimmy","Butler","37.2","34","8600","CHI@ATL","CHI","ATL","","","",""
"9729","PF","Paul","Millsap","37.7","37","8400","CHI@ATL","ATL","CHI","","","",""
"9561","C","DeAndre","Jordan","33.7","36","8000","CHA@LAC","LAC","CHA","","","",""
"9453","C","Al","Horford","31.7","37","7600","CHI@ATL","ATL","CHI","","","",""
"9809","SF","Nicolas","Batum","31.9","31","7400","CHA@LAC","CHA","LAC","O","Toe","",""
"9475","PG","Derrick","Rose","25.3","29","6300","CHI@ATL","CHI","ATL","","","",""
"19781","SG","Kent","Bazemore","24.7","32","5900","CHI@ATL","ATL","CHI","","","",""
"9446","PG","Jeff","Teague","27.2","34","5900","CHI@ATL","ATL","CHI","","","",""
"9483","C","Joakim","Noah","22.6","25","5400","CHI@ATL","CHI","ATL","O","Shoulder","",""
"9481","PF","Taj","Gibson","20.3","34","5300","CHI@ATL","CHI","ATL","","","",""
"12443","PG","Jeremy","Lin","21.6","33","5300","CHA@LAC","CHA","LAC","","","",""
"9655","SG","J.J.","Redick","20.3","32","5100","CHA@LAC","LAC","CHA","","","",""
"14522","SF","Nikola","Mirotic","21.4","34","4900","CHI@ATL","CHI","ATL","","","",""
"15691","PF","Cody","Zeller","19.6","33","4900","CHA@LAC","CHA","LAC","","","",""
"9451","PF","Marvin","Williams","22.1","35","4800","CHA@LAC","CHA","LAC","","","",""
"40201","PG","Dennis","Schroder","20.7","35","4700","CHI@ATL","ATL","CHI","","","",""
"9647","SF","Thabo","Sefolosha","17.4","33","4200","CHI@ATL","ATL","CHI","","","",""
"9547","SF","Mike","Dunleavy","0","23","4200","CHI@ATL","CHI","ATL","O","Back","",""
"15559","SG","Jeremy","Lamb","19.5","34","4200","CHA@LAC","CHA","LAC","GTD","Wrist","",""
"9459","SF","Paul","Pierce","10.4","33","4100","CHA@LAC","LAC","CHA","","","",""
"9534","PG","Aaron","Brooks","15","24","4000","CHI@ATL","CHI","ATL","","","",""
"9870","SG","Kyle","Korver","18.1","35","4000","CHI@ATL","ATL","CHI","","","",""
"15592","PG","Austin","Rivers","13.3","33","4000","CHA@LAC","LAC","CHA","","","",""
"42156","PF","Bobby","Portis","16.2","14","3900","CHI@ATL","CHI","ATL","","","",""
"16448","PF","Frank","Kaminsky","14.5","34","3900","CHA@LAC","CHA","LAC","","","",""
"12354","C","Cole","Aldrich","10.7","14","3800","CHA@LAC","LAC","CHA","","","",""
"9448","SG","Jamal","Crawford","16.9","36","3800","CHA@LAC","LAC","CHA","","","",""
"12348","SF","Wesley","Johnson","11.2","36","3700","CHA@LAC","LAC","CHA","","","",""
"15951","SF","P.J.","Hairston","10.8","32","3600","CHA@LAC","CHA","LAC","","","",""
"9700","C","Spencer","Hawes","12.9","29","3600","CHA@LAC","CHA","LAC","","","",""
"16368","SF","Mike","Scott","10.5","31","3600","CHI@ATL","ATL","CHI","","","",""
"20805","SG","Troy","Daniels","4.9","15","3600","CHA@LAC","CHA","LAC","","","",""
"42664","PG","Aaron","Harrison","2.3","6","3500","CHA@LAC","CHA","LAC","","","",""
"9478","SG","Kirk","Hinrich","8.2","25","3500","CHI@ATL","CHI","ATL","","","",""
"14554","PG","E'Twaun","Moore","8.6","24","3500","CHI@ATL","CHI","ATL","","","",""
