"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"9524","PG","Stephen","Curry","47.9","30","11000","GS@DAL","GS","DAL","GTD","Lowerleg","",""
"12332","PG","John","Wall","40.3","29","10000","WAS@TOR","WAS","TOR","","","",""
"12362","C","DeMarcus","Cousins","42.7","23","9800","PHI@SAC","SAC","PHI","","","",""
"15860","PF","Draymond","Green","38.6","30","9200","GS@DAL","GS","DAL","GTD","Ankle","",""
"20848","PG","Damian","Lillard","38.9","29","9000","DEN@POR","POR","DEN","GTD","Foot","",""
"9535","PG","Kyle","Lowry","38.8","32","9000","WAS@TOR","TOR","WAS","","","",""
"9560","PF","Blake","Griffin","41.3","30","9000","LAC@CHA","LAC","CHA","O","Quadriceps","",""
"9623","PG","Chris","Paul","36.7","27","9000","LAC@CHA","LAC","CHA","","","",""
"9570","PF","Pau","Gasol","37.6","28","8900","IND@CHI","CHI","IND","","","",""
"14513","SF","Kawhi","Leonard","38.9","31","8800","PHO@SA","SA","PHO","","","",""
"12341","SF","Paul","George","39.4","30","8500","IND@CHI","IND","CHI","","","",""
"14507","PG","Kemba","Walker","33.7","30","8400","LAC@CHA","CHA","LAC","","","",""
"9621","C","Brook","Lopez","34.6","31","8300","BKN@ORL","BKN","ORL","","","",""
"19067","SG","C.J.","McCollum","32.2","32","8200","DEN@POR","POR","DEN","","","",""
"14528","SG","Jimmy","Butler","35.7","29","8200","IND@CHI","CHI","IND","","","",""
"14514","C","Nikola","Vucevic","33.9","28","8200","BKN@ORL","ORL","BKN","","","",""
"14559","PG","Isaiah","Thomas","34.5","31","8100","LAL@BOS","BOS","LAL","","","",""
"9714","SG","DeMar","DeRozan","34.4","32","8100","WAS@TOR","TOR","WAS","","","",""
"9455","PG","Rajon","Rondo","36.5","30","7800","PHI@SAC","SAC","PHI","","","",""
"12351","PF","Derrick","Favors","33.3","26","7700","UTA@MIN","UTA","MIN","GTD","Back","",""
"12355","SG","Eric","Bledsoe","36.2","31","7600","PHO@SA","PHO","SA","O","Knee","",""
"12366","SF","Gordon","Hayward","30.1","29","7600","UTA@MIN","UTA","MIN","","","",""
"9561","C","DeAndre","Jordan","33","32","7600","LAC@CHA","LAC","CHA","","","",""
"58462","C","Karl-Anthony","Towns","31.9","31","7600","UTA@MIN","MIN","UTA","","","",""
"14496","PG","Ricky","Rubio","31","25","7500","UTA@MIN","MIN","UTA","","","",""
"9809","SF","Nicolas","Batum","32","29","7300","LAC@CHA","CHA","LAC","GTD","Toe","",""
"14509","SG","Klay","Thompson","28.3","28","7300","GS@DAL","GS","DAL","","","",""
"15595","SG","Brad","Beal","30.2","17","7200","WAS@TOR","WAS","TOR","O","Leg","",""
