"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"9524","PG","Stephen","Curry","46.5","35","10800","MIA@GS","GS","MIA","","","",""
"12332","PG","John","Wall","40.3","35","9900","WAS@CHI","WAS","CHI","","","",""
"15860","PF","Draymond","Green","40.2","37","9800","MIA@GS","GS","MIA","","","",""
"14528","SG","Jimmy","Butler","37.3","35","8700","WAS@CHI","CHI","WAS","","","",""
"9570","PF","Pau","Gasol","37.9","34","8700","WAS@CHI","CHI","WAS","","","",""
"9621","C","Brook","Lopez","35.5","37","8600","SA@BKN","BKN","SA","","","",""
"14513","SF","Kawhi","Leonard","37.7","36","8300","SA@BKN","SA","BKN","","","",""
"9718","PF","Chris","Bosh","33.9","37","8000","MIA@GS","MIA","GS","","","",""
"14509","SG","Klay","Thompson","30.1","35","7700","MIA@GS","GS","MIA","","","",""
"12363","C","Hassan","Whiteside","32.6","36","7300","MIA@GS","MIA","GS","","","",""
"15595","SG","Brad","Beal","30.2","17","7200","WAS@CHI","WAS","CHI","O","Leg","",""
"9688","PF","LaMarcus","Aldridge","29.6","35","7100","SA@BKN","SA","BKN","","","",""
"9585","SG","Dwyane","Wade","30.5","36","7000","MIA@GS","MIA","GS","GTD","Shoulder","",""
"9661","C","Marcin","Gortat","29.5","32","6900","WAS@CHI","WAS","CHI","","","",""
"9666","PF","Thaddeus","Young","31.1","37","6900","SA@BKN","BKN","SA","","","",""
"9475","PG","Derrick","Rose","25.4","30","6300","WAS@CHI","CHI","WAS","","","",""
"9710","C","Tim","Duncan","25.5","32","6200","SA@BKN","SA","BKN","","","",""
"15628","SF","Otto","Porter","25.3","32","6000","WAS@CHI","WAS","CHI","","","",""
"9702","PG","Tony","Parker","23.8","35","5800","SA@BKN","SA","BKN","","","",""
"14522","SF","Nikola","Mirotic","22","35","5500","WAS@CHI","CHI","WAS","","","",""
"9673","PG","Goran","Dragic","23.8","36","5500","MIA@GS","MIA","GS","","","",""
"9483","C","Joakim","Noah","22.6","25","5400","WAS@CHI","CHI","WAS","GTD","Shoulder","",""
"9481","PF","Taj","Gibson","20.1","35","5100","WAS@CHI","CHI","WAS","","","",""
"9447","SG","Joe","Johnson","21","37","5000","SA@BKN","BKN","SA","","","",""
"15946","SF","Harrison","Barnes","22.1","21","4900","MIA@GS","GS","MIA","","","",""
"16331","C","Festus","Ezeli","19.7","32","4600","MIA@GS","GS","MIA","","","",""
"9704","SG","Manu","Ginobili","19.8","32","4600","SA@BKN","SA","BKN","","","",""
"9664","SF","Andre","Iguodala","20.1","37","4500","MIA@GS","GS","MIA","","","",""
"11074","SG","Garrett","Temple","14.5","33","4400","WAS@CHI","WAS","CHI","","","",""
"9629","PF","David","West","15","38","4300","SA@BKN","SA","BKN","","","",""
"15834","PG","Shane","Larkin","16.4","33","4300","SA@BKN","BKN","SA","","","",""
"9601","C","Andrew","Bogut","19.8","30","4200","MIA@GS","GS","MIA","","","",""
"9479","SF","Luol","Deng","19.1","31","4200","MIA@GS","MIA","GS","","","",""
"14530","SF","Bojan","Bogdanovic","15.6","37","4200","SA@BKN","BKN","SA","","","",""
"9547","SF","Mike","Dunleavy","0","23","4200","WAS@CHI","CHI","WAS","O","Back","",""
"9677","SF","Jared","Dudley","16.7","34","4200","WAS@CHI","WAS","CHI","","","",""
"9605","PG","Ramon","Sessions","17.4","35","4100","WAS@CHI","WAS","CHI","","","",""
"9471","PF","Boris","Diaw","14.7","38","4100","SA@BKN","SA","BKN","","","",""
"42148","SF","Rondae","Hollis-Jefferson","17.2","19","4000","SA@BKN","BKN","SA","O","Ankle","",""
"9512","PF","Nene","Hilario","16","14","4000","WAS@CHI","WAS","CHI","O","Triceps","",""
"18600","PG","Tyler","Johnson","15.8","27","4000","MIA@GS","MIA","GS","GTD","Shoulder","",""
"9849","SG","Gerald","Green","17.4","31","4000","MIA@GS","MIA","GS","","","",""
"12445","SG","Gary","Neal","15.1","27","3900","WAS@CHI","WAS","CHI","","","",""
"42156","PF","Bobby","Portis","15.8","15","3800","WAS@CHI","CHI","WAS","","","",""
"9671","PF","Marreese","Speights","10.6","30","3800","MIA@GS","GS","MIA","","","",""
"12832","PG","Donald","Sloan","9.6","17","3800","SA@BKN","BKN","SA","","","",""
"9534","PG","Aaron","Brooks","14.4","25","3700","WAS@CHI","CHI","WAS","","","",""
"9758","SG","Danny","Green","16","38","3700","SA@BKN","SA","BKN","","","",""
"63826","C","Boban","Marjanovic","10","21","3700","SA@BKN","SA","BKN","","","",""
"9549","SG","Brandon","Rush","11.6","28","3700","MIA@GS","GS","MIA","","","",""
"18821","SG","Jonathon","Simmons","9.9","24","3600","SA@BKN","SA","BKN","","","",""
"9643","PG","Shaun","Livingston","13.3","34","3600","MIA@GS","GS","MIA","","","",""
"18352","PG","Ray","McCallum","5.7","16","3600","SA@BKN","SA","BKN","","","",""
"23716","SF","Kyle","Anderson","8.6","35","3600","SA@BKN","SA","BKN","","","",""
"9939","PG","Patrick","Mills","15.2","38","3600","SA@BKN","SA","BKN","","","",""
"58084","SF","Justise","Winslow","13.5","34","3500","MIA@GS","MIA","GS","","","",""
"9501","PF","Kris","Humphries","13.1","27","3500","WAS@CHI","WAS","CHI","O","Knee","",""
"9503","PF","Drew","Gooden","9.2","9","3500","WAS@CHI","WAS","CHI","","","",""
"17747","SG","Ian","Clark","8.1","32","3500","MIA@GS","GS","MIA","","","",""
"16026","SG","Markel","Brown","5.5","21","3500","SA@BKN","BKN","SA","","","",""
"9478","SG","Kirk","Hinrich","8.2","25","3500","WAS@CHI","CHI","WAS","","","",""
"9778","PF","Josh","McRoberts","10","20","3500","MIA@GS","MIA","GS","O","Knee","",""
"14554","PG","E'Twaun","Moore","8.3","25","3500","WAS@CHI","CHI","WAS","","","",""
"17517","SG","Tony","Snell","12","33","3500","WAS@CHI","CHI","WAS","","","",""
"18256","SF","Doug","McDermott","11.7","34","3500","WAS@CHI","CHI","WAS","","","",""
"9513","C","Chris","Andersen","4.4","6","3500","MIA@GS","MIA","GS","","","",""
"17520","PF","Cameron","Bairstow","3","7","3500","WAS@CHI","CHI","WAS","","","",""
"16925","PF","Jarnell","Stokes","1.2","2","3500","MIA@GS","MIA","GS","","","",""
"9685","SF","Martell","Webster","0","0","3500","WAS@CHI","WAS","CHI","O","Hip","",""
"9952","C","DeJuan","Blair","5.6","18","3500","WAS@CHI","WAS","CHI","GTD","Knee","",""
"34615","PF","Willie","Reed","9","18","3500","SA@BKN","BKN","SA","","","",""
"9680","PF","Amar'e","Stoudemire","8.1","10","3500","MIA@GS","MIA","GS","","","",""
"9956","SG","Wayne","Ellington","10.3","36","3500","SA@BKN","BKN","SA","","","",""
"21665","SG","Alan","Anderson","0","24","3500","WAS@CHI","WAS","CHI","O","Ankle","",""
"15955","PF","James Michael","McAdoo","5","25","3500","MIA@GS","GS","MIA","GTD","Toe","",""
"9693","PG","Beno","Udrih","8","22","3500","MIA@GS","MIA","GS","","","",""
"9559","SF","Rasual","Butler","5.9","25","3500","SA@BKN","SA","BKN","","","",""
"58153","SF","Kelly","Oubre","8.4","28","3500","WAS@CHI","WAS","CHI","","","",""
"15730","PF","Thomas","Robinson","8.6","32","3500","SA@BKN","BKN","SA","","","",""
"9674","SG","Leandro","Barbosa","11.1","25","3500","MIA@GS","GS","MIA","O","Shoulder","",""
"16233","SG","Josh","Richardson","3.7","14","3500","MIA@GS","MIA","GS","","","",""
"63478","C","Cristiano","Felicio","1.8","2","3500","WAS@CHI","CHI","WAS","","","",""
"40202","SF","Sergey","Karasev","1.6","13","3500","SA@BKN","BKN","SA","","","",""
"9589","PF","Udonis","Haslem","5.4","16","3500","MIA@GS","MIA","GS","","","",""
"9720","C","Andrea","Bargnani","9.8","32","3500","SA@BKN","BKN","SA","","","",""
"16375","SG","Jarell","Eddie","10","5","3500","WAS@CHI","WAS","CHI","","","",""
"9698","PF","Jason","Thompson","6.3","18","3500","MIA@GS","GS","MIA","","","",""
"9709","C","Matt","Bonner","4","16","3500","SA@BKN","SA","BKN","","","",""
