"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"58312","PG","D'Angelo","Russell","22.1","35","5000","OKC@LAL","LAL","OKC","","","",""
"9465","PG","Raymond","Felton","19.8","36","5000","DAL@MIL","DAL","MIL","","","",""
"12342","SF","Al-Farouq","Aminu","22.3","38","5000","GS@POR","POR","GS","","","",""
"15946","SF","Harrison","Barnes","23","19","5000","GS@POR","GS","POR","","","",""
"63124","PG","Emmanuel","Mudiay","22.8","23","4900","DEN@MEM","DEN","MEM","O","Ankle","",""
"15771","C","Gorgui","Dieng","20.6","36","4900","CLE@MIN","MIN","CLE","","","",""
"9447","SG","Joe","Johnson","20.9","35","4900","ORL@BKN","BKN","ORL","","","",""
"9506","SG","J.R.","Smith","19.4","29","4900","CLE@MIN","CLE","MIN","","","",""
"9583","PG","Mario","Chalmers","19.3","28","4900","DEN@MEM","MEM","DEN","","","",""
"9657","SF","Matt","Barnes","19.4","35","4900","DEN@MEM","MEM","DEN","","","",""
"9556","SG","Eric","Gordon","22.6","34","4800","IND@NO","NO","IND","","","",""
"14516","C","Enes","Kanter","21.7","36","4800","OKC@LAL","OKC","LAL","","","",""
"9648","SF","Jeff","Green","19.7","37","4800","DEN@MEM","MEM","DEN","","","",""
"9507","SG","Arron","Afflalo","20.9","29","4700","NY@SA","NY","SA","","","",""
"9752","C","Jordan","Hill","21.5","31","4600","IND@NO","IND","NO","","","",""
"16331","C","Festus","Ezeli","20.1","30","4600","GS@POR","GS","POR","GTD","Toe","",""
"42550","PF","Jabari","Parker","19","31","4600","DAL@MIL","MIL","DAL","","","",""
"15501","SG","Allen","Crabbe","16.7","38","4600","GS@POR","POR","GS","","","",""
"14501","PF","Tristan","Thompson","21.2","33","4600","CLE@MIN","CLE","MIN","","","",""
"12459","C","Nikola","Pekovic","12.4","1","4600","CLE@MIN","MIN","CLE","","","",""
"9704","SG","Manu","Ginobili","19.6","31","4600","NY@SA","SA","NY","","","",""
"14539","PF","Jon","Leuer","19","37","4500","MIA@PHO","PHO","MIA","","","",""
"23120","SF","T.J.","Warren","18.6","37","4500","MIA@PHO","PHO","MIA","","","",""
"14505","C","Bismack","Biyombo","18.7","37","4500","TOR@WAS","TOR","WAS","","","",""
"9664","SF","Andre","Iguodala","20.5","35","4500","GS@POR","GS","POR","","","",""
"23407","SF","P.J.","Tucker","16.8","38","4400","MIA@PHO","PHO","MIA","GTD","Thigh","",""
"15834","PG","Shane","Larkin","16.4","31","4400","ORL@BKN","BKN","ORL","","","",""
"9873","C","Robin","Lopez","18.9","37","4400","NY@SA","NY","SA","","","",""
"9514","SG","Rodney","Stuckey","18.7","30","4400","IND@NO","IND","NO","","","",""
"14530","SF","Bojan","Bogdanovic","16.2","35","4400","ORL@BKN","BKN","ORL","","","",""
