"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","Luis Scola",4700,"Tor@Was 07:00PM ET",21.061,"Tor"
"SG","Raymond Felton",4700,"Dal@Mil 08:00PM ET",21.431,"Dal"
"SF","P.J. Tucker",4700,"Mia@Pho 09:30PM ET",17.987,"Pho"
"SF","C.J. Miles",4700,"Ind@NO 08:00PM ET",22.517,"Ind"
"C","Robin Lopez",4700,"NY@SA 08:30PM ET",20.061,"NY"
"C","Enes Kanter",4700,"OKC@LAL 10:30PM ET",23.104,"OKC"
"PG","Shane Larkin",4700,"Orl@Bkn 07:30PM ET",17.597,"Bkn"
"PF","Jabari Parker",4700,"Dal@Mil 08:00PM ET",19.613,"Mil"
"SG","Devin Booker",4700,"Mia@Pho 09:30PM ET",12.258,"Pho"
"C","Andrew Bogut",4600,"GS@Por 10:00PM ET",21.196,"GS"
"PG","Mario Chalmers",4600,"Den@Mem 08:00PM ET",19.772,"Mem"
"SG","Allen Crabbe",4600,"GS@Por 10:00PM ET",17.928,"Por"
"SF","Mirza Teletovic",4600,"Mia@Pho 09:30PM ET",16.901,"Pho"
"SG","Rondae Hollis-Jefferson",4600,"Orl@Bkn 07:30PM ET",18.289,"Bkn"
"PG","Shaun Livingston",4500,"GS@Por 10:00PM ET",13.805,"GS"
"SG","Garrett Temple",4500,"Tor@Was 07:00PM ET",15.266,"Was"
"C","Ian Mahinmi",4500,"Ind@NO 08:00PM ET",22.644,"Ind"
"PG","Jerryd Bayless",4500,"Dal@Mil 08:00PM ET",23.104,"Mil"
"PF","Jordan Hill",4400,"Ind@NO 08:00PM ET",22.855,"Ind"
"PF","Markieff Morris",4400,"Mia@Pho 09:30PM ET",20.500,"Pho"
"C","Gorgui Dieng",4400,"Cle@Min 08:00PM ET",22.104,"Min"
"C","Bismack Biyombo",4400,"Tor@Was 07:00PM ET",19.878,"Tor"
"SF","Luol Deng",4300,"Mia@Pho 09:30PM ET",20.241,"Mia"
"PG","Norris Cole",4300,"Ind@NO 08:00PM ET",17.103,"NO"
"C","Festus Ezeli",4300,"GS@Por 10:00PM ET",21.133,"GS"
"C","Nikola Jokic",4300,"Den@Mem 08:00PM ET",19.574,"Den"
"PF","David West",4200,"NY@SA 08:30PM ET",15.608,"SA"
"SG","Courtney Lee",4200,"Den@Mem 08:00PM ET",18.196,"Mem"
"SG","O.J. Mayo",4200,"Dal@Mil 08:00PM ET",19.712,"Mil"
"SG","Gary Harris",4200,"Den@Mem 08:00PM ET",18.992,"Den"
"SG","Manu Ginobili",4100,"NY@SA 08:30PM ET",21.234,"SA"
"SF","Jared Dudley",4100,"Tor@Was 07:00PM ET",17.766,"Was"
"PG","Ramon Sessions",4100,"Tor@Was 07:00PM ET",18.583,"Was"
"PG","Jose Calderon",4100,"NY@SA 08:30PM ET",19.068,"NY"
"PF","John Henson",4100,"Dal@Mil 08:00PM ET",16.883,"Mil"
"PG","Matthew Dellavedova",4100,"Cle@Min 08:00PM ET",21.023,"Cle"
"C","Steven Adams",4100,"OKC@LAL 10:30PM ET",18.132,"OKC"
"SG","Rodney Stuckey",4000,"Ind@NO 08:00PM ET",19.775,"Ind"
"SG","Gerald Green",4000,"Mia@Pho 09:30PM ET",18.009,"Mia"
"PG","Patty Mills",4000,"NY@SA 08:30PM ET",16.676,"SA"
"PF","Nene Hilario",3900,"Tor@Was 07:00PM ET",17.404,"Was"
"SG","Gary Neal",3900,"Tor@Was 07:00PM ET",16.100,"Was"
"PF","Boris Diaw",3900,"NY@SA 08:30PM ET",15.716,"SA"
"C","Roy Hibbert",3900,"OKC@LAL 10:30PM ET",20.479,"LAL"
"PF","Darrell Arthur",3900,"Den@Mem 08:00PM ET",15.689,"Den"
"PF","Ed Davis",3900,"GS@Por 10:00PM ET",19.878,"Por"
"C","Meyers Leonard",3900,"GS@Por 10:00PM ET",18.315,"Por"
"PF","Dwight Powell",3900,"Dal@Mil 08:00PM ET",18.000,"Dal"
"SF","Aaron Gordon",3900,"Orl@Bkn 07:30PM ET",17.093,"Orl"
"C","Tyson Chandler",3800,"Mia@Pho 09:30PM ET",17.190,"Pho"
"SF","Tony Allen",3800,"Den@Mem 08:00PM ET",15.383,"Mem"
