"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","John Wall",9900,"Mia@Was 06:00PM ET",44.935,"Was"
"PG","Damian Lillard",8800,"Por@Den 09:00PM ET",42.603,"Por"
"SF","Carmelo Anthony",8300,"Atl@NY 03:30PM ET",37.962,"NY"
"SG","Eric Bledsoe",8300,"Pho@LAL 09:30PM ET",39.056,"Pho"
"SG","DeMar DeRozan",8200,"Chi@Tor 03:30PM ET",36.449,"Tor"
"PG","Kyle Lowry",8100,"Chi@Tor 03:30PM ET",41.596,"Tor"
"SG","C.J. McCollum",8100,"Por@Den 09:00PM ET",35.478,"Por"
"PF","Paul Millsap",8000,"Atl@NY 03:30PM ET",40.390,"Atl"
"C","Pau Gasol",7800,"Chi@Tor 03:30PM ET",39.575,"Chi"
"SG","Jimmy Butler",7700,"Chi@Tor 03:30PM ET",37.815,"Chi"
"PF","Chris Bosh",7500,"Mia@Was 06:00PM ET",35.813,"Mia"
"C","Hassan Whiteside",7400,"Mia@Was 06:00PM ET",35.695,"Mia"
"PG","Brandon Knight",7400,"Pho@LAL 09:30PM ET",35.090,"Pho"
"SG","Will Barton",7300,"Por@Den 09:00PM ET",31.757,"Den"
"C","Marcin Gortat",7000,"Mia@Was 06:00PM ET",31.839,"Was"
"SG","Dwyane Wade",6900,"Mia@Was 06:00PM ET",32.258,"Mia"
"SG","Bradley Beal",6900,"Mia@Was 06:00PM ET",33.029,"Was"
"PF","Kristaps Porzingis",6900,"Atl@NY 03:30PM ET",30.324,"NY"
"SF","Danilo Gallinari",6700,"Por@Den 09:00PM ET",31.661,"Den"
"C","Al Horford",6600,"Atl@NY 03:30PM ET",33.309,"Atl"
"PG","Jeff Teague",6500,"Atl@NY 03:30PM ET",30.508,"Atl"
"SG","Kobe Bryant",6400,"Pho@LAL 09:30PM ET",29.767,"LAL"
"PF","Kenneth Faried",6300,"Por@Den 09:00PM ET",28.250,"Den"
"SF","Otto Porter",6000,"Mia@Was 06:00PM ET",26.696,"Was"
"PG","Derrick Rose",5900,"Chi@Tor 03:30PM ET",27.056,"Chi"
