"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Stephen Curry",10500,"GS@Sac 10:00PM ET",50.699,"GS"
"PF","DeMarcus Cousins",10200,"GS@Sac 10:00PM ET",48.152,"Sac"
"PF","Draymond Green",10000,"GS@Sac 10:00PM ET",43.910,"GS"
"PG","John Wall",9400,"Was@Orl 07:00PM ET",44.081,"Was"
"PG","Chris Paul",9200,"Cha@LAC 03:30PM ET",40.250,"LAC"
"PF","Blake Griffin",8900,"Cha@LAC 03:30PM ET",43.567,"LAC"
"C","Andre Drummond",8900,"Bkn@Det 07:30PM ET",45.583,"Det"
"PG","Kyle Lowry",8600,"Tor@Phi 07:30PM ET",42.388,"Tor"
"PG","Kemba Walker",8500,"Cha@LAC 03:30PM ET",36.893,"Cha"
"PF","Paul Millsap",8400,"Chi@Atl 05:00PM ET",40.196,"Atl"
"PG","Rajon Rondo",8400,"GS@Sac 10:00PM ET",41.140,"Sac"
"SG","Jimmy Butler",8300,"Chi@Atl 05:00PM ET",39.059,"Chi"
"C","Pau Gasol",8200,"Chi@Atl 05:00PM ET",40.705,"Chi"
"C","DeAndre Jordan",8100,"Cha@LAC 03:30PM ET",35.799,"LAC"
"SG","DeMar DeRozan",8000,"Tor@Phi 07:30PM ET",36.362,"Tor"
"SG","Klay Thompson",8000,"GS@Sac 10:00PM ET",32.963,"GS"
"PF","Chris Bosh",7900,"Mia@Uta 09:00PM ET",36.236,"Mia"
"C","Brook Lopez",7900,"Bkn@Det 07:30PM ET",37.847,"Bkn"
"SF","Nicolas Batum",7500,"Cha@LAC 03:30PM ET",35.339,"Cha"
"PF","Thaddeus Young",7300,"Bkn@Det 07:30PM ET",33.535,"Bkn"
"PF","Derrick Favors",7300,"Mia@Uta 09:00PM ET",34.942,"Uta"
"SF","Gordon Hayward",7200,"Mia@Uta 09:00PM ET",32.479,"Uta"
"C","Hassan Whiteside",7200,"Mia@Uta 09:00PM ET",34.721,"Mia"
"PG","Reggie Jackson",7100,"Bkn@Det 07:30PM ET",35.819,"Det"
"C","Nikola Vucevic",7000,"Was@Orl 07:00PM ET",34.456,"Orl"
"SF","Rudy Gay",6900,"GS@Sac 10:00PM ET",31.236,"Sac"
"PG","Ish Smith",6900,"Tor@Phi 07:30PM ET",25.294,"Phi"
"SG","Bradley Beal",6900,"Was@Orl 07:00PM ET",33.029,"Was"
"SG","Dwyane Wade",6800,"Mia@Uta 09:00PM ET",32.314,"Mia"
"C","Al Horford",6800,"Chi@Atl 05:00PM ET",33.622,"Atl"
"SG","Victor Oladipo",6800,"Was@Orl 07:00PM ET",28.536,"Orl"
"C","Marcin Gortat",6700,"Was@Orl 07:00PM ET",31.831,"Was"
"PF","Nerlens Noel",6600,"Tor@Phi 07:30PM ET",27.734,"Phi"
"SF","Omri Casspi",6500,"GS@Sac 10:00PM ET",25.805,"Sac"
"SF","Kent Bazemore",6400,"Chi@Atl 05:00PM ET",26.563,"Atl"
"PG","Jarrett Jack",6300,"Bkn@Det 07:30PM ET",31.078,"Bkn"
"PG","Jeff Teague",6200,"Chi@Atl 05:00PM ET",29.279,"Atl"
"SF","Otto Porter",6100,"Was@Orl 07:00PM ET",26.774,"Was"
"PF","Taj Gibson",6000,"Chi@Atl 05:00PM ET",21.331,"Chi"
"C","Jahlil Okafor",6000,"Tor@Phi 07:30PM ET",30.603,"Phi"
"C","Rudy Gobert",5900,"Mia@Uta 09:00PM ET",30.083,"Uta"
"PG","Derrick Rose",5800,"Chi@Atl 05:00PM ET",27.052,"Chi"
"SG","Rodney Hood",5800,"Mia@Uta 09:00PM ET",22.993,"Uta"
"C","Al Jefferson",5700,"Cha@LAC 03:30PM ET",26.053,"Cha"
"PG","Jeremy Lin",5700,"Cha@LAC 03:30PM ET",23.182,"Cha"
"PG","Goran Dragic",5700,"Mia@Uta 09:00PM ET",25.771,"Mia"
"SF","Tobias Harris",5700,"Was@Orl 07:00PM ET",29.020,"Orl"
"SF","Harrison Barnes",5600,"GS@Sac 10:00PM ET",23.800,"GS"
"PG","Elfrid Payton",5600,"Was@Orl 07:00PM ET",26.691,"Orl"
"C","Jonas Valanciunas",5500,"Tor@Phi 07:30PM ET",26.667,"Tor"
"SG","J.J. Redick",5400,"Cha@LAC 03:30PM ET",22.242,"LAC"
"C","Joakim Noah",5400,"Chi@Atl 05:00PM ET",23.970,"Chi"
"PG","Darren Collison",5400,"GS@Sac 10:00PM ET",24.605,"Sac"
"PF","Cody Zeller",5400,"Cha@LAC 03:30PM ET",20.402,"Cha"
